"etag","id","category","snippet__assignable","snippet__channelId"
"IfWa37JGcqZs-jZeAyFGkbeh6bc","1","Film & Animation","True","UCBR8-60-B28hp2BmDPdntcQ"
"5XGylIs7zkjHh5940dsT5862m1Y","2","Autos & Vehicles","True","UCBR8-60-B28hp2BmDPdntcQ"
"HCjFMARbBeWjpm6PDfReCOMOZGA","10","Music","True","UCBR8-60-B28hp2BmDPdntcQ"
"ra8H7xyAfmE2FewsDabE3TUSq10","15","Pets & Animals","True","UCBR8-60-B28hp2BmDPdntcQ"
"7mqChSJogdF3hSIL-88BfDE-W8M","17","Sports","True","UCBR8-60-B28hp2BmDPdntcQ"
"0Z6uGkj97NgjD-X3pkA-nL18Hqk","18","Short Movies","False","UCBR8-60-B28hp2BmDPdntcQ"
"K_-7stg0kIU7eUBOPUa6j5fqIMQ","19","Travel & Events","True","UCBR8-60-B28hp2BmDPdntcQ"
"I3IL9xGIM3MsULlqR4tvCsEKv98","20","Gaming","True","UCBR8-60-B28hp2BmDPdntcQ"
"D1W6tq5mMMCV0wtNxf9A6g9wWjU","21","Videoblogging","False","UCBR8-60-B28hp2BmDPdntcQ"
"QMEBz6mxVdklVaq8JwesPEw_4nI","22","People & Blogs","True","UCBR8-60-B28hp2BmDPdntcQ"
"v2n6q4JttoL4uUbazrcxNQRGPZk","23","Comedy","True","UCBR8-60-B28hp2BmDPdntcQ"
"Qi1csjh-POReitZEbR7CUw7dmao","24","Entertainment","True","UCBR8-60-B28hp2BmDPdntcQ"
"IbGXblQi8v_nOsXjirhul1NVcH8","25","News & Politics","True","UCBR8-60-B28hp2BmDPdntcQ"
"gYzt8dB8mlod-84ipMtjynYe9xU","26","Howto & Style","True","UCBR8-60-B28hp2BmDPdntcQ"
"hHUhloYhyMMqVkQ4LH9sr3aRQoU","27","Education","True","UCBR8-60-B28hp2BmDPdntcQ"
"KEdEtUd4WGk_aACrYI03UhGE33w","28","Science & Technology","True","UCBR8-60-B28hp2BmDPdntcQ"
"tMfbFvkfuPP8YnUEqpr0gcR6aWU","30","Movies","False","UCBR8-60-B28hp2BmDPdntcQ"
"totPMF_82XTvVFy0ExFgoKhTklM","31","Anime/Animation","False","UCBR8-60-B28hp2BmDPdntcQ"
"LNgRKNynxC50MeYV9e6XLPX9JC4","32","Action/Adventure","False","UCBR8-60-B28hp2BmDPdntcQ"
"harT7v7A6516SPdkqp81Xy5yfBw","33","Classics","False","UCBR8-60-B28hp2BmDPdntcQ"
"M6Y5Av0CP45r5GgpzamLfHj41y4","34","Comedy","False","UCBR8-60-B28hp2BmDPdntcQ"
"ZFbZGeeLYWolvmCLQM7m8Yio104","35","Documentary","False","UCBR8-60-B28hp2BmDPdntcQ"
"FD7naICnxxl8HOnZZJAzrWplzuU","36","Drama","False","UCBR8-60-B28hp2BmDPdntcQ"
"7fvdoCRRWE89SpB5UaOY8gGdbk0","37","Family","False","UCBR8-60-B28hp2BmDPdntcQ"
"H6d6HrYDy3EAVAxQR8Z-ShEva1k","38","Foreign","False","UCBR8-60-B28hp2BmDPdntcQ"
"Z3yra5IR8n2bkjvv3ZheAOQ-tUk","39","Horror","False","UCBR8-60-B28hp2BmDPdntcQ"
"3F8eda4xnGzGFmlpsFaf5_YpOgU","40","Sci-Fi/Fantasy","False","UCBR8-60-B28hp2BmDPdntcQ"
"HwuNLGhBJ4PZCEurr-SoqvHuKx8","41","Thriller","False","UCBR8-60-B28hp2BmDPdntcQ"
"qJ2eDOZWUDj8fbFYAIG_yzPCYRc","42","Shorts","False","UCBR8-60-B28hp2BmDPdntcQ"
"2sKmjip5q7FHJgqkHvnpMDgmddE","43","Shows","False","UCBR8-60-B28hp2BmDPdntcQ"
"3IaZjRK8JeIkLMfRDX57P4FFb9A","44","Trailers","False","UCBR8-60-B28hp2BmDPdntcQ"
